        1000  1.000000000000000E-002           0   2.00000000000000     
   0.58000000D+00
   0.13900000D+01 -0.20719069D+02
   0.14000000D+01 -0.20571075D+02
   0.14100000D+01 -0.20425181D+02
   0.14200000D+01 -0.20281342D+02
   0.14300000D+01 -0.20139514D+02
   0.14400000D+01 -0.19999656D+02
   0.14500000D+01 -0.19861728D+02
   0.14600000D+01 -0.19725689D+02
   0.14700000D+01 -0.19591500D+02
   0.14800000D+01 -0.19459125D+02
   0.14900000D+01 -0.19328527D+02
   0.15000000D+01 -0.19199670D+02
   0.15100000D+01 -0.19072520D+02
   0.15200000D+01 -0.18947043D+02
   0.15300000D+01 -0.18823206D+02
   0.15400000D+01 -0.18700978D+02
   0.15500000D+01 -0.18580326D+02
   0.15600000D+01 -0.18461221D+02
   0.15700000D+01 -0.18343634D+02
   0.15800000D+01 -0.18227535D+02
   0.15900000D+01 -0.18112896D+02
   0.16000000D+01 -0.17999691D+02
   0.16100000D+01 -0.17887892D+02
   0.16200000D+01 -0.17777472D+02
   0.16300000D+01 -0.17668408D+02
   0.16400000D+01 -0.17560674D+02
   0.16500000D+01 -0.17454246D+02
   0.16600000D+01 -0.17349100D+02
   0.16700000D+01 -0.17245213D+02
   0.16800000D+01 -0.17142563D+02
   0.16900000D+01 -0.17041128D+02
   0.17000000D+01 -0.16940886D+02
   0.17100000D+01 -0.16841816D+02
   0.17200000D+01 -0.16743898D+02
   0.17300000D+01 -0.16647113D+02
   0.17400000D+01 -0.16551440D+02
   0.17500000D+01 -0.16456860D+02
   0.17600000D+01 -0.16363355D+02
   0.17700000D+01 -0.16270907D+02
   0.17800000D+01 -0.16179498D+02
   0.17900000D+01 -0.16089109D+02
   0.18000000D+01 -0.15999725D+02
   0.18100000D+01 -0.15911329D+02
   0.18200000D+01 -0.15823904D+02
   0.18300000D+01 -0.15737435D+02
   0.18400000D+01 -0.15651905D+02
   0.18500000D+01 -0.15567300D+02
   0.18600000D+01 -0.15483605D+02
   0.18700000D+01 -0.15400805D+02
   0.18800000D+01 -0.15318886D+02
   0.18900000D+01 -0.15237833D+02
   0.19000000D+01 -0.15157634D+02
   0.19100000D+01 -0.15078275D+02
   0.19200000D+01 -0.14999742D+02
   0.19300000D+01 -0.14922023D+02
   0.19400000D+01 -0.14845106D+02
   0.19500000D+01 -0.14768977D+02
   0.19600000D+01 -0.14693625D+02
   0.19700000D+01 -0.14619038D+02
   0.19800000D+01 -0.14545205D+02
   0.19900000D+01 -0.14472113D+02
   0.20000000D+01 -0.14399753D+02
   0.20100000D+01 -0.14328112D+02
   0.20200000D+01 -0.14257181D+02
   0.20300000D+01 -0.14186948D+02
   0.20400000D+01 -0.14117405D+02
   0.20500000D+01 -0.14048539D+02
   0.20600000D+01 -0.13980343D+02
   0.20700000D+01 -0.13912804D+02
   0.20800000D+01 -0.13845916D+02
   0.20900000D+01 -0.13779668D+02
   0.21000000D+01 -0.13714050D+02
   0.21100000D+01 -0.13649055D+02
   0.21200000D+01 -0.13584672D+02
   0.21300000D+01 -0.13520894D+02
   0.21400000D+01 -0.13457713D+02
   0.21500000D+01 -0.13395119D+02
   0.21600000D+01 -0.13333104D+02
   0.21700000D+01 -0.13271661D+02
   0.21800000D+01 -0.13210782D+02
   0.21900000D+01 -0.13150459D+02
   0.22000000D+01 -0.13090684D+02
   0.22100000D+01 -0.13031451D+02
   0.22200000D+01 -0.12972750D+02
   0.22300000D+01 -0.12914576D+02
   0.22400000D+01 -0.12856922D+02
   0.22500000D+01 -0.12799780D+02
   0.22600000D+01 -0.12743144D+02
   0.22700000D+01 -0.12687007D+02
   0.22800000D+01 -0.12631362D+02
   0.22900000D+01 -0.12576203D+02
   0.23000000D+01 -0.12521524D+02
   0.23100000D+01 -0.12467318D+02
   0.23200000D+01 -0.12413580D+02
   0.23300000D+01 -0.12360303D+02
   0.23400000D+01 -0.12307481D+02
   0.23500000D+01 -0.12255109D+02
   0.23600000D+01 -0.12203180D+02
   0.23700000D+01 -0.12151690D+02
   0.23800000D+01 -0.12100633D+02
   0.23900000D+01 -0.12050002D+02
   0.24000000D+01 -0.11999794D+02
   0.24100000D+01 -0.11950002D+02
   0.24200000D+01 -0.11900622D+02
   0.24300000D+01 -0.11851648D+02
   0.24400000D+01 -0.11803076D+02
   0.24500000D+01 -0.11754900D+02
   0.24600000D+01 -0.11707116D+02
   0.24700000D+01 -0.11659719D+02
   0.24800000D+01 -0.11612704D+02
   0.24900000D+01 -0.11566066D+02
   0.25000000D+01 -0.11519802D+02
   0.25100000D+01 -0.11473907D+02
   0.25200000D+01 -0.11428375D+02
   0.25300000D+01 -0.11383204D+02
   0.25400000D+01 -0.11338388D+02
   0.25500000D+01 -0.11293924D+02
   0.25600000D+01 -0.11249807D+02
   0.25700000D+01 -0.11206033D+02
   0.25800000D+01 -0.11162599D+02
   0.25900000D+01 -0.11119500D+02
   0.26000000D+01 -0.11076733D+02
   0.26100000D+01 -0.11034293D+02
   0.26200000D+01 -0.10992178D+02
   0.26300000D+01 -0.10950382D+02
   0.26400000D+01 -0.10908904D+02
   0.26500000D+01 -0.10867738D+02
   0.26600000D+01 -0.10826882D+02
   0.26700000D+01 -0.10786332D+02
   0.26800000D+01 -0.10746084D+02
   0.26900000D+01 -0.10706136D+02
   0.27000000D+01 -0.10666484D+02
   0.27100000D+01 -0.10627124D+02
   0.27200000D+01 -0.10588053D+02
   0.27300000D+01 -0.10549269D+02
   0.27400000D+01 -0.10510768D+02
   0.27500000D+01 -0.10472548D+02
   0.27600000D+01 -0.10434603D+02
   0.27700000D+01 -0.10396933D+02
   0.27800000D+01 -0.10359534D+02
   0.27900000D+01 -0.10322403D+02
   0.28000000D+01 -0.10285538D+02
   0.28100000D+01 -0.10248934D+02
   0.28200000D+01 -0.10212591D+02
   0.28300000D+01 -0.10176504D+02
   0.28400000D+01 -0.10140671D+02
   0.28500000D+01 -0.10105090D+02
   0.28600000D+01 -0.10069757D+02
   0.28700000D+01 -0.10034671D+02
   0.28800000D+01 -0.99998283D+01
   0.28900000D+01 -0.99652269D+01
   0.29000000D+01 -0.99308640D+01
   0.29100000D+01 -0.98967372D+01
   0.29200000D+01 -0.98628442D+01
   0.29300000D+01 -0.98291826D+01
   0.29400000D+01 -0.97957501D+01
   0.29500000D+01 -0.97625442D+01
   0.29600000D+01 -0.97295627D+01
   0.29700000D+01 -0.96968032D+01
   0.29800000D+01 -0.96642635D+01
   0.29900000D+01 -0.96319415D+01
   0.30000000D+01 -0.95998350D+01
   0.30100000D+01 -0.95679419D+01
   0.30200000D+01 -0.95362601D+01
   0.30300000D+01 -0.95047873D+01
   0.30400000D+01 -0.94735216D+01
   0.30500000D+01 -0.94424608D+01
   0.30600000D+01 -0.94116030D+01
   0.30700000D+01 -0.93809463D+01
   0.30800000D+01 -0.93504887D+01
   0.30900000D+01 -0.93202283D+01
   0.31000000D+01 -0.92901631D+01
   0.31100000D+01 -0.92602912D+01
   0.31200000D+01 -0.92306108D+01
   0.31300000D+01 -0.92011199D+01
   0.31400000D+01 -0.91718169D+01
   0.31500000D+01 -0.91427000D+01
   0.31600000D+01 -0.91137675D+01
   0.31700000D+01 -0.90850175D+01
   0.31800000D+01 -0.90564483D+01
   0.31900000D+01 -0.90280582D+01
   0.32000000D+01 -0.89998455D+01
   0.32100000D+01 -0.89718085D+01
   0.32200000D+01 -0.89439457D+01
   0.32300000D+01 -0.89162554D+01
   0.32400000D+01 -0.88887362D+01
   0.32500000D+01 -0.88613863D+01
   0.32600000D+01 -0.88342042D+01
   0.32700000D+01 -0.88071883D+01
   0.32800000D+01 -0.87803370D+01
   0.32900000D+01 -0.87536490D+01
   0.33000000D+01 -0.87271228D+01
   0.33100000D+01 -0.87007568D+01
   0.33200000D+01 -0.86745498D+01
   0.33300000D+01 -0.86485001D+01
   0.33400000D+01 -0.86226065D+01
   0.33500000D+01 -0.85968674D+01
   0.33600000D+01 -0.85712814D+01
   0.33700000D+01 -0.85458473D+01
   0.33800000D+01 -0.85205636D+01
   0.33900000D+01 -0.84954292D+01
   0.34000000D+01 -0.84704427D+01
   0.34100000D+01 -0.84456027D+01
   0.34200000D+01 -0.84209081D+01
   0.34300000D+01 -0.83963573D+01
   0.34400000D+01 -0.83719493D+01
   0.34500000D+01 -0.83476827D+01
   0.34600000D+01 -0.83235564D+01
   0.34700000D+01 -0.82995692D+01
   0.34800000D+01 -0.82757199D+01
   0.34900000D+01 -0.82520072D+01
   0.35000000D+01 -0.82284301D+01
   0.35100000D+01 -0.82049874D+01
   0.35200000D+01 -0.81816777D+01
   0.35300000D+01 -0.81585001D+01
   0.35400000D+01 -0.81354535D+01
   0.35500000D+01 -0.81125367D+01
   0.35600000D+01 -0.80897486D+01
   0.35700000D+01 -0.80670883D+01
   0.35800000D+01 -0.80445546D+01
   0.35900000D+01 -0.80221464D+01
   0.36000000D+01 -0.79998627D+01
   0.36100000D+01 -0.79777024D+01
   0.36200000D+01 -0.79556645D+01
   0.36300000D+01 -0.79337480D+01
   0.36400000D+01 -0.79119519D+01
   0.36500000D+01 -0.78902754D+01
   0.36600000D+01 -0.78687173D+01
   0.36700000D+01 -0.78472767D+01
   0.36800000D+01 -0.78259526D+01
   0.36900000D+01 -0.78047441D+01
   0.37000000D+01 -0.77836502D+01
   0.37100000D+01 -0.77626699D+01
   0.37200000D+01 -0.77418025D+01
   0.37300000D+01 -0.77210469D+01
   0.37400000D+01 -0.77004024D+01
   0.37500000D+01 -0.76798680D+01
   0.37600000D+01 -0.76594429D+01
   0.37700000D+01 -0.76391261D+01
   0.37800000D+01 -0.76189169D+01
   0.37900000D+01 -0.75988142D+01
   0.38000000D+01 -0.75788172D+01
   0.38100000D+01 -0.75589253D+01
   0.38200000D+01 -0.75391375D+01
   0.38300000D+01 -0.75194530D+01
   0.38400000D+01 -0.74998711D+01
   0.38500000D+01 -0.74803910D+01
   0.38600000D+01 -0.74610118D+01
   0.38700000D+01 -0.74417327D+01
   0.38800000D+01 -0.74225530D+01
   0.38900000D+01 -0.74034719D+01
   0.39000000D+01 -0.73844885D+01
   0.39100000D+01 -0.73656023D+01
   0.39200000D+01 -0.73468125D+01
   0.39300000D+01 -0.73281183D+01
   0.39400000D+01 -0.73095191D+01
   0.39500000D+01 -0.72910140D+01
   0.39600000D+01 -0.72726024D+01
   0.39700000D+01 -0.72542836D+01
   0.39800000D+01 -0.72360567D+01
   0.39900000D+01 -0.72179212D+01
   0.40000000D+01 -0.71998763D+01
   0.40100000D+01 -0.71819215D+01
   0.40200000D+01 -0.71640560D+01
   0.40300000D+01 -0.71462792D+01
   0.40400000D+01 -0.71285904D+01
   0.40500000D+01 -0.71109890D+01
   0.40600000D+01 -0.70934743D+01
   0.40700000D+01 -0.70760456D+01
   0.40800000D+01 -0.70587024D+01
   0.40900000D+01 -0.70414439D+01
   0.41000000D+01 -0.70242696D+01
   0.41100000D+01 -0.70071789D+01
   0.41200000D+01 -0.69901711D+01
   0.41300000D+01 -0.69732458D+01
   0.41400000D+01 -0.69564022D+01
   0.41500000D+01 -0.69396399D+01
   0.41600000D+01 -0.69229581D+01
   0.41700000D+01 -0.69063563D+01
   0.41800000D+01 -0.68898339D+01
   0.41900000D+01 -0.68733903D+01
   0.42000000D+01 -0.68570251D+01
   0.42100000D+01 -0.68407376D+01
   0.42200000D+01 -0.68245273D+01
   0.42300000D+01 -0.68083936D+01
   0.42400000D+01 -0.67923361D+01
   0.42500000D+01 -0.67763542D+01
   0.42600000D+01 -0.67604473D+01
   0.42700000D+01 -0.67446149D+01
   0.42800000D+01 -0.67288565D+01
   0.42900000D+01 -0.67131714D+01
   0.43000000D+01 -0.66975594D+01
   0.43100000D+01 -0.66820198D+01
   0.43200000D+01 -0.66665521D+01
   0.43300000D+01 -0.66511559D+01
   0.43400000D+01 -0.66358307D+01
   0.43500000D+01 -0.66205759D+01
   0.43600000D+01 -0.66053912D+01
   0.43700000D+01 -0.65902759D+01
   0.43800000D+01 -0.65752296D+01
   0.43900000D+01 -0.65602518D+01
   0.44000000D+01 -0.65453421D+01
   0.44100000D+01 -0.65305001D+01
   0.44200000D+01 -0.65157251D+01
   0.44300000D+01 -0.65010169D+01
   0.44400000D+01 -0.64863750D+01
   0.44500000D+01 -0.64717989D+01
   0.44600000D+01 -0.64572882D+01
   0.44700000D+01 -0.64428424D+01
   0.44800000D+01 -0.64284611D+01
   0.44900000D+01 -0.64141438D+01
   0.45000000D+01 -0.63998901D+01
   0.45100000D+01 -0.63856996D+01
   0.45200000D+01 -0.63715720D+01
   0.45300000D+01 -0.63575066D+01
   0.45400000D+01 -0.63435033D+01
   0.45500000D+01 -0.63295616D+01
   0.45600000D+01 -0.63156810D+01
   0.45700000D+01 -0.63018611D+01
   0.45800000D+01 -0.62881016D+01
   0.45900000D+01 -0.62744021D+01
   0.46000000D+01 -0.62607621D+01
   0.46100000D+01 -0.62471813D+01
   0.46200000D+01 -0.62336592D+01
   0.46300000D+01 -0.62201955D+01
   0.46400000D+01 -0.62067899D+01
   0.46500000D+01 -0.61934420D+01
   0.46600000D+01 -0.61801513D+01
   0.46700000D+01 -0.61669176D+01
   0.46800000D+01 -0.61537405D+01
   0.46900000D+01 -0.61406195D+01
   0.47000000D+01 -0.61275544D+01
   0.47100000D+01 -0.61145447D+01
   0.47200000D+01 -0.61015902D+01
   0.47300000D+01 -0.60886904D+01
   0.47400000D+01 -0.60758450D+01
   0.47500000D+01 -0.60630537D+01
   0.47600000D+01 -0.60503162D+01
   0.47700000D+01 -0.60376321D+01
   0.47800000D+01 -0.60250011D+01
   0.47900000D+01 -0.60124228D+01
   0.48000000D+01 -0.59998970D+01
   0.48100000D+01 -0.59874232D+01
   0.48200000D+01 -0.59750012D+01
   0.48300000D+01 -0.59626306D+01
   0.48400000D+01 -0.59503111D+01
   0.48500000D+01 -0.59380424D+01
   0.48600000D+01 -0.59258241D+01
